iso3,year,u5mr,dtp3,mcv1,pol3,gdp_pc,health_exp_pc,fertility,female_secondary_enrollment,basic_water,basic_sanitation,physicians_per_1000
MUS,2004,15.7,98,98,98,5460.6080018419825,184.74328613,1.92,85.8464736938477,99.4501410084641,91.6486409323772,1.043
MUS,2005,15.6,97,98,97,5354.029742606423,192.13858032,1.88,87.766487121582,99.473396831772,91.9320916263266,1.068
MUS,2006,15.4,97,99,98,5784.224918830265,203.24180603,1.77,88.2761993408203,99.4967060410466,92.2159724037212,1.108
MUS,2007,15.2,97,98,96,6677.3496244860835,229.2313385,1.74,88.2235717773438,99.5200720163926,92.5003340946351,1.123
MUS,2008,15,99,98,99,8140.508085958952,312.88540649,1.67,87.8380432128906,99.5434873367577,92.7851254425672,1.138
MUS,2009,14.9,99,99,99,7426.886456175929,301.67260742,1.59,88.413818359375,99.5669598698171,93.0703993955795,1.153
MUS,2010,14.8,99,99,99,8113.176707402124,357.17382813,1.57,88.7164688110352,99.5904884029877,93.356133421421,1.169
MUS,2011,14.9,98,99,98,9324.24232310496,385.76248169,1.55,90.4235763549805,99.6140745200193,93.6423302206656,1.407
MUS,2012,15,98,99,98,9421.525140982249,387.1026001,1.56,94.0829963073677,99.6377035692288,93.928957338752,1.336
MUS,2013,14.9,98,99,98,9877.138659588343,440.00280762,1.45,95.0431976318359,99.6614006304561,94.2160990172905,1.585
MUS,2014,14.7,97,98,98,10490.331556385292,544.44122314,1.44,97.9171913191615,99.6851453153078,94.5036776997777,1.88
MUS,2015,14.5,97,99,98,9630.543783750698,515.72247314,1.37,95.9186994275233,99.7089459082034,94.7917221671352,1.973
MUS,2016,14.6,96,92,96,10095.122557415598,540.39239502,1.41,96.6578558308319,99.7328674353139,95.0806649213747,2.144
MUS,2017,15,94,89,95,10986.70340930054,594.86120605,1.46,95.6264935299157,99.7568929289724,95.3704562123422,2.268
MUS,2018,15.4,97,99,98,11818.748061927196,640.62182617,1.42,93.8197294421645,99.7810033691491,95.6610436549434,1.858
MUS,2019,15.7,96,99,97,11568.253339982366,639.18286133,1.41,94.0894965817278,99.8052010577748,95.9523952887646,2.558
MUS,2020,15.8,95,98,96,9135.84773751062,541.95184326,1.46,91.3439926033381,99.8294531889086,96.2430585209024,2.689
MUS,2021,15.7,95,97,95,9177.711959730132,593.77947998,1.42,NA,99.8537467482534,96.5249988240641,NA
MUS,2022,15.5,95,98,95,10246.501745555295,590.91522217,1.33,NA,99.8780672728138,96.8074578506506,1.436
MUS,2023,15.4,96,96,97,11269.96844621386,616.20739746,1.4,NA,99.9024122575049,97.0904086099851,NA
MUS,2024,15.4,93,98,95,11990.77989448369,NA,1.44,93.386946088039707,99.9265458263134,97.3737391141644,NA
