iso3,year,physicians_per_1000
BRA,2016,NA
BRA,2017,2.198
BRA,2018,NA
BRA,2019,2.351
BRA,2020,NA
BRA,2021,2.191
BRA,2022,NA
BRA,2023,2.357
BRA,2024,NA
BRB,2000,1.393
BRB,2001,1.601
BRB,2002,NA
BRB,2003,NA
BRB,2004,NA
BRB,2005,1.82
BRB,2006,NA
BRB,2007,NA
BRB,2008,NA
BRB,2009,NA
BRB,2010,NA
BRB,2011,NA
BRB,2012,NA
BRB,2013,NA
BRB,2014,NA
BRB,2015,NA
BRB,2016,NA
BRB,2017,2.541
BRB,2018,NA
BRB,2019,NA
BRB,2020,2.616
BRB,2021,2.871
BRB,2022,2.958
BRB,2023,NA
BRB,2024,NA
BRN,2000,1.029
BRN,2001,NA
BRN,2002,1.176
BRN,2003,NA
BRN,2004,1.312
BRN,2005,1.087
BRN,2006,1.094
BRN,2007,1.06
BRN,2008,1.493
BRN,2009,1.156
BRN,2010,1.435
BRN,2011,1.522
BRN,2012,1.469
BRN,2013,1.595
BRN,2014,1.485
BRN,2015,1.75
BRN,2016,NA
BRN,2017,1.578
BRN,2018,1.763
BRN,2019,NA
BRN,2020,NA
BRN,2021,1.886
BRN,2022,NA
BRN,2023,NA
BRN,2024,NA
BTN,2000,NA
BTN,2001,NA
BTN,2002,NA
BTN,2003,NA
BTN,2004,0.181
BTN,2005,NA
BTN,2006,NA
BTN,2007,0.212
BTN,2008,0.249
BTN,2009,NA
BTN,2010,NA
BTN,2011,NA
BTN,2012,0.271
BTN,2013,0.28
BTN,2014,0.333
BTN,2015,0.339
BTN,2016,0.4
BTN,2017,0.31
BTN,2018,0.421
BTN,2019,0.336
BTN,2020,0.486
BTN,2021,0.561
BTN,2022,0.553
BTN,2023,NA
BTN,2024,NA
BWA,2000,0.298
BWA,2001,0.298
BWA,2002,0.307
BWA,2003,0.296
BWA,2004,0.396
BWA,2005,0.253
BWA,2006,0.315
BWA,2007,0.371
BWA,2008,0.367
BWA,2009,0.348
BWA,2010,0.403
BWA,2011,0.395
BWA,2012,0.388
BWA,2013,NA
BWA,2014,NA
BWA,2015,NA
BWA,2016,0.371
BWA,2017,NA
BWA,2018,0.402
BWA,2019,0.395
BWA,2020,0.433
BWA,2021,0.422
BWA,2022,0.407
BWA,2023,0.379
BWA,2024,NA
CAF,2000,NA
CAF,2001,NA
CAF,2002,NA
CAF,2003,NA
CAF,2004,0.079
CAF,2005,NA
CAF,2006,NA
CAF,2007,NA
CAF,2008,0.0405
CAF,2009,0.045
CAF,2010,NA
CAF,2011,NA
CAF,2012,NA
CAF,2013,NA
CAF,2014,NA
CAF,2015,0.07
CAF,2016,NA
CAF,2017,NA
CAF,2018,0.069
CAF,2019,NA
CAF,2020,NA
CAF,2021,0.022
CAF,2022,0.029
CAF,2023,0.074
CAF,2024,NA
CAN,2000,NA
CAN,2001,1.8871
CAN,2002,1.8969
CAN,2003,NA
CAN,2004,1.8971
CAN,2005,NA
CAN,2006,1.9086
CAN,2007,NA
CAN,2008,1.959
CAN,2009,NA
CAN,2010,2.0384
CAN,2011,NA
CAN,2012,2.3962
CAN,2013,2.4509
CAN,2014,2.4961
CAN,2015,2.5388
CAN,2016,2.3105
CAN,2017,2.6102
CAN,2018,2.411
CAN,2019,2.418
CAN,2020,2.415
CAN,2021,2.444
CAN,2022,2.814
CAN,2023,2.819
CAN,2024,NA
CEB,2000,2.5700928239371588
CEB,2001,NA
CEB,2002,NA
CEB,2003,NA
CEB,2004,NA
CEB,2005,NA
CEB,2006,NA
CEB,2007,NA
CEB,2008,NA
CEB,2009,NA
CEB,2010,2.738962398615296
