iso3,year,gdp_pc
SYC,2023,18262.711584928707
SYC,2024,17858.82263839782
SYR,2000,1138.188485427796
SYR,2001,1186.8291347402724
SYR,2002,1183.2473451033038
SYR,2003,1220.1790772559982
SYR,2004,1368.1148230028018
SYR,2005,1533.901665365676
SYR,2006,1718.7834721733766
SYR,2007,1937.6113857802743
SYR,2008,2429.124770871886
SYR,2009,2462.2019364320217
SYR,2010,2730.614771189487
SYR,2011,2952.1434937225717
SYR,2012,1897.6611501869634
SYR,2013,985.8926692270542
SYR,2014,1060.5910588685424
SYR,2015,847.7316319425646
SYR,2016,656.3490586313004
SYR,2017,851.5020052541528
SYR,2018,1098.0668642356993
SYR,2019,1109.539260360489
SYR,2020,572.3552898319015
SYR,2021,663.6142457068148
SYR,2022,1051.6714958746265
SYR,2023,NA
SYR,2024,NA
TCA,2000,NA
TCA,2001,18325.745811197383
TCA,2002,17803.947176773316
TCA,2003,18859.189027477332
TCA,2004,21246.009800490025
TCA,2005,24122.302818075703
TCA,2006,28734.287306452254
TCA,2007,29443.852303007232
TCA,2008,31453.822875268896
TCA,2009,24596.893801595073
TCA,2010,23093.849826826725
TCA,2011,27327.40063541464
TCA,2012,25923.615650387525
TCA,2013,25653.819867470953
TCA,2014,27292.582025677602
TCA,2015,29457.01406911624
TCA,2016,31373.561268432728
TCA,2017,30014.230952321297
TCA,2018,31625.616593277027
TCA,2019,31780.521706898948
TCA,2020,20690.916054611815
TCA,2021,27329.28850871958
TCA,2022,31280.541802080836
TCA,2023,35470.21516082947
TCA,2024,37506.779843128825
TCD,2000,163.12166368336872
TCD,2001,194.32295331156047
TCD,2002,219.06139195134935
TCD,2003,289.08762112216766
TCD,2004,445.8507671570869
TCD,2005,838.0921077125565
TCD,2006,906.8972605727467
TCD,2007,980.4835314851032
TCD,2008,1166.3688345384062
TCD,2009,1035.637196942538
TCD,2010,1141.800692684123
TCD,2011,1308.1421872537999
TCD,2012,1354.3434470193736
TCD,2013,1304.8874297147465
TCD,2014,1278.7898142249378
TCD,2015,993.99073061086915
TCD,2016,861.8317676307461
TCD,2017,854.4612004009803
TCD,2018,948.6566298712311
TCD,2019,893.3364416433249
TCD,2020,866.9478148904094
TCD,2021,946.3585002083736
TCD,2022,966.0364682785677
TCD,2023,949.3334536745924
TCD,2024,961.5597556250602
TEA,2000,972.8331739160459
TEA,2001,1026.6492096959007
TEA,2002,1127.2509337481924
TEA,2003,1266.107788672408
TEA,2004,1456.9669469412374
TEA,2005,1673.19096529507
TEA,2006,1999.860707796059
TEA,2007,2510.422619933258
TEA,2008,3154.1687285106154
TEA,2009,3398.5298966784635
TEA,2010,4104.802623622593
TEA,2011,4970.505354935648
TEA,2012,5497.155172719174
TEA,2013,6020.72398510662
TEA,2014,6446.136123592402
TEA,2015,6664.488345775575
TEA,2016,6758.743657287014
TEA,2017,7323.513648479192
TEA,2018,8136.370418951371
TEA,2019,8379.365032635742
TEA,2020,8485.328551859788
TEA,2021,10086.417606735587
TEA,2022,10220.477443156708
TEA,2023,10239.816217881638
TEA,2024,10513.95293230333
TEC,2000,2044.3507457654807
TEC,2001,2080.9841911636345
TEC,2002,2340.8250390874337
TEC,2003,2879.653634403648
TEC,2004,3723.4380320893256
TEC,2005,4660.808369300657
TEC,2006,5632.990032338271
TEC,2007,7247.027299432849
TEC,2008,8951.253563768048
TEC,2009,7074.023542623131
TEC,2010,8280.7234376826491
TEC,2011,10028.654556359783
TEC,2012,10418.348493548074
TEC,2013,10965.24871164857
TEC,2014,10307.224268541431
TEC,2015,8009.6187499555845
TEC,2016,7659.549243913634
TEC,2017,8575.461291957641
TEC,2018,8911.877429790144
TEC,2019,9058.74177112172
TEC,2020,8478.350386568056
TEC,2021,10014.510882383678
TEC,2022,11421.136442700137
TEC,2023,12129.86411554317
TEC,2024,13337.438695633742
TGO,2000,409.88980279276814
TGO,2001,396.6926545201353
TGO,2002,445.23869148892504
TGO,2003,538.1653777692896
TGO,2004,560.2663085333824
TGO,2005,551.2598500170766
TGO,2006,552.5022712525598
TGO,2007,607.5878867213521
TGO,2008,718.9483867174725
TGO,2009,720.6937681514155
TGO,2010,704.986772286079
TGO,2011,783.9889446716725
TGO,2012,762.3916237906903
TGO,2013,826.5427999872268
TGO,2014,855.5848092465744
TGO,2015,751.0519875872484
TGO,2016,772.581357620609
TGO,2017,792.765700965864
TGO,2018,851.1205612335951
TGO,2019,826.2552090197977
TGO,2020,863.4686658702757
TGO,2021,962.0751875158718
TGO,2022,951.2323786903866
TGO,2023,1055.0172787792565
TGO,2024,1119.3816050942892
THA,2000,2005.976945142342
THA,2001,1889.934324671445
THA,2002,2089.7518311155445
THA,2003,2347.5400128606598
THA,2004,2641.5626871785717
THA,2005,2867.703834360616
THA,2006,3331.3204351177264
THA,2007,3918.5281743458054
THA,2008,4309.135092929862
THA,2009,4135.439869528185
THA,2010,4973.862888237778
THA,2011,5373.623283289797
THA,2012,5725.5280283546335
THA,2013,6018.082447292549
THA,2014,5801.1978916205
THA,2015,5688.853353978842
THA,2016,5833.577156170984
THA,2017,6413.091825303433
THA,2018,7099.776500814575
THA,2019,7605.696577977591
THA,2020,6985.643938925742
