iso3,year,basic_water
CUW,2003,99.0048946284844
CUW,2004,99.1062622643132
CUW,2005,99.207629900142
CUW,2006,99.3089975359708
CUW,2007,99.4103651717996
CUW,2008,99.5117328076284
CUW,2009,99.6131004434572
CUW,2010,99.714468079286
CUW,2011,99.8158357151148
CUW,2012,99.9172033509436
CUW,2013,100
CUW,2014,100
CUW,2015,100
CUW,2016,100
CUW,2017,100
CUW,2018,100
CUW,2019,100
CUW,2020,100
CUW,2021,100
CUW,2022,100
CUW,2023,100
CUW,2024,100
CYM,2000,NA
CYM,2001,96.139263803681
CYM,2002,96.139263803681
CYM,2003,96.139263803681
CYM,2004,96.139263803681
CYM,2005,96.139263803681
CYM,2006,96.1015337423313
CYM,2007,96.0638036809816
CYM,2008,96.0260736196319
CYM,2009,95.9883435582822
CYM,2010,95.9506134969325
CYM,2011,95.9128834355828
CYM,2012,95.8751533742332
CYM,2013,95.8374233128834
CYM,2014,95.7996932515338
CYM,2015,95.7619631901841
CYM,2016,95.7242331288344
CYM,2017,95.6865030674847
CYM,2018,95.648773006135
CYM,2019,95.6110429447853
CYM,2020,95.5733128834356
CYM,2021,95.5355828220859
CYM,2022,95.4978527607362
CYM,2023,95.4601226993865
CYM,2024,95.4601226993865
CYP,2000,99.8808389848329
CYP,2001,99.8807090471894
CYP,2002,99.8807921007244
CYP,2003,99.8771500644463
CYP,2004,99.8735238773651
CYP,2005,99.8665320571823
CYP,2006,99.8586266149932
CYP,2007,99.8506916800731
CYP,2008,99.8427359254953
CYP,2009,99.8347516446659
CYP,2010,99.8267504796292
CYP,2011,99.8187291029918
CYP,2012,99.8106809810866
CYP,2013,99.8025995652533
CYP,2014,99.7944906652545
CYP,2015,99.7863671756961
CYP,2016,99.7782153871909
CYP,2017,99.7700560798569
CYP,2018,99.7618820715217
CYP,2019,99.7537103444436
CYP,2020,99.7455373868703
CYP,2021,99.737372137771
CYP,2022,99.7292193859115
CYP,2023,99.7210789435355
CYP,2024,99.7211088299984
CZE,2000,97.972246151234
CZE,2001,97.9706166565361
CZE,2002,98.0088325485114
CZE,2003,98.0470367968107
CZE,2004,98.085247563922
CZE,2005,98.1234653444269
CZE,2006,98.1616913225965
CZE,2007,98.1999097628059
CZE,2008,98.2381464447503
CZE,2009,98.2763785982176
CZE,2010,98.314633387884
CZE,2011,98.352878485221
CZE,2012,98.3922881866856
CZE,2013,98.533960928643907
CZE,2014,98.7302061350028
CZE,2015,98.7304761661286
CZE,2016,98.7307511669182
CZE,2017,98.7310570576695
CZE,2018,98.7313948988611
CZE,2019,98.731767831264
CZE,2020,98.7321788477487
CZE,2021,98.7326235754859
CZE,2022,98.7330958150591
CZE,2023,98.7336065681001
CZE,2024,98.7341483522106
DEU,2000,100
